NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING
52,82,68,58,61,84,70,93,239,254,66,0,0,0,138,68,5,107,69,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
77,194,109,42,40,6,83,47,215,222,12,0,0,0,217,105,80,42,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,1,1,255,22,236,1,1,255,255,255,0,0,0,33,247,1,53,95,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,84,52,122,52,71,45,95,215,255,29,0,0,0,114,46,2,107,56,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
83,165,133,89,52,59,126,72,195,208,38,0,0,0,214,76,35,78,56,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,169,115,100,40,67,147,56,195,227,89,0,0,0,199,52,12,53,41,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
11,172,115,95,40,84,140,53,215,227,62,0,0,0,208,65,10,42,38,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,1,1,1,1,1,1,1,7,28,33,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,1,1,1,1,1,1,3,12,14,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,4,8,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,8,0,0,0,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
